,binomial,common_name
1354,Lonchophylla dekeyseri,Dekeyser's Nectar Bat
1355,Trachypithecus delacouri,Delacour's Langur
1356,Hapalomys delacouri,"Lesser Marmoset Rat, Delacour's Marmoset Rat"
1357,Oxymycterus delator,Spy Hocicudo
1358,Praomys delectorum,"East African Praomys, Delectable Soft-furred Mouse"
1359,Pseudomys delicatulus,"Delicate Mouse, Little Native Mouse"
1360,Habromys delicatulus,Delicate Deer Mouse
1361,Salinomys delicatus,NA
1362,Delphinus delphis,"Short-beaked Common Dolphin, Atlantic Dolphin, Pacific Dolphin, Saddle-backed Dolphin, Short-beaked Saddleback Dolphin"
1363,Philander deltae,"Deltaic Four-eyed Opossum , Delta Opossum"
1364,Oligoryzomys delticola,Delta Pygmy Rice Rat
1365,Marmosa demerarae,"Woolly Mouse Opossum, Long-furred Woolly Mouse Opossum"
1366,Galagoides demidoff,"Demidoff's Dwarf Galago, Demidoff's Galago, Dwarf Bushbaby, Dwarf Galago"
1367,Hipposideros demissus,Makira Leaf-nosed Bat
1368,Mops demonstrator,"Mongalla Mops Bat, Mongalla Free-tailed Bat, Mongallan Mops Bat"
1369,Hylomyscus denniae,NA
1370,Mesoplodon densirostris,Blainville's Beaked Whale
1371,Tarsius dentatus,"Dian's Tarsier, Diana Tarsier"
1372,Batomys dentatus,"Large-toothed Batomys, Large-toothed Hairy-tailed Rat"
1373,Rhinolophus denti,Dent's Horseshoe Bat
1374,Otomys denti,Dent's Vlei Rat
1375,Cercopithecus denti,Dent's Monkey
1376,Crocidura denti,Dent's Shrew
1377,Eudiscopus denticulus,Disk-footed Bat
1378,Sciurus deppei,Deppe's Squirrel
1379,Bubalus depressicornis,"Lowland Anoa, Anoa"
1380,Tragelaphus derbianus,"Giant Eland, Derby's Eland, Lord Derby's Eland"
1381,Caluromys derbianus,"Central American Woolly Opossum, Derby's Woolly Opossum"
1382,Anomalurus derbianus,"Lord Derby's Scaly-tailed Squirrel, Derby's Flying Squirrel, Lord Derby's Flying Squirrel"
1383,Hemigalus derbyanus,"Banded Civet, Banded Palm Civet"
1384,Praomys derooi,"Deroo's Mouse, Deroo's Praomys"
1385,Dipodomys deserti,Desert Kangaroo Rat
1386,Pseudomys desertor,"Desert Mouse, Brown Desert Mouse"
1387,Heteromys desmarestianus,Desmarest's Spiny Pocket Mouse
1388,Megalomys desmarestii,"Desmarest's Pilorie, Antillean Giant Rice Rat"
1389,Crocidura desperata,Desperate Shrew
1390,Oligoryzomys destructor,Destructive Pygmy Rice Rat
1391,Neotoma devia,Arizona Woodrat
1392,Nephelomys devius,Boquete Rice Rat
1393,Thyroptera devivoi,NA
1394,Crocidura dhofarensis,Dhofarian Shrew
1395,Hipposideros diadema,"Diadem Leaf-nosed Bat, Diadem Horseshoe-bat, Diadem Leafnosed-bat, Diadem Roundleaf Bat"
1396,Propithecus diadema,Diademed Sifaka
1397,Cercopithecus diana,"Diana Monkey, Diana Guenon"
1398,Emballonura dianae,Large-eared Sheath-tailed Bat
1399,Neofelis diardi,"Sunda Clouded Leopard, Enkuli Clouded Leopard, Sunda Clouded Leopard, Sunda Islands Clouded Leopard, Sundaland Clouded Leopard"
1400,Romerolagus diazi,Volcano Rabbit
1401,Sylvilagus dicei,Dice's Cottontail
1402,Blastocerus dichotomus,Marsh Deer
1403,Peromyscus dickeyi,"Dickey's Deermouse, Dickey's Deer Mouse"
1404,Choloepus didactylus,"Linn's Two-toed Sloth, Linnaeus's Two-toed Sloth, Southern Two-toed Sloth, Unau"
1405,Cyclopes didactylus,"Silky Anteater, Pygmy Anteater"
1406,Makalata didelphoides,Brazilian Spiny Tree Rat
1407,Myotis dieteri,NA
1408,Lophuromys dieterleni,"Dieterlen's Brush-furred Mouse, Mount Oku Brush-furred Rat, Mt Oku Brush-furred Mouse"
1409,Peromyscus difficilis,"Rock Mouse, Zacatecan Deer Mouse"
1410,Monodelphis dimidiata,"Southern Short-tailed Opossum, Eastern Short-tailed Opossum, Yellow-sided Opossum"
1411,Acomys dimidiatus,"Arabian Spiny Mouse, Eastern Spiny Mouse"
1412,Oryzomys dimidiatus,Thomas's Rice Rat
1413,Trinomys dimidiatus,Atlantic Spiny Rat
1414,Myotis diminutus,NA
1415,Eptesicus diminutus,Diminutive Serotine
1416,Eptesicus dimissus,Surat Serotine
1417,Myotis dinellii,NA
1418,Scotophilus dinganii,"African Yellow Bat, African Yellow House Bat, Dingan's Bat, Yellow-bellied House Bat"
1419,Hipposideros dinops,"Fierce Leaf-nosed Bat, Fierce Roundleaf Bat, Giant Horseshoe Bat"
1420,Phocoena dioptrica,Spectacled Porpoise
1421,Thyroptera discifera,Peters's Disk-winged Bat
1422,Callicebus discolor,"Red Titi Monkey, Titi Monkey, White-tailed Titi"
1423,Alouatta discolor,"Spix's Red-handed Howler Monkey, Red-handed Howling Monkey, Spix's Howler, Spix's Red-handed Howler"
1424,Phyllostomus discolor,Pale Spear-nosed Bat
1425,Sorex dispar,Long-tailed Shrew
1426,Thomasomys dispar,NA
1427,Leopoldamys diwangkarai,Diwangkara's Long-tailed Giant Rat
1428,Chlorocebus djamdjamensis,"Bale Monkey, Bale Mountains Grivet, Bale Mountains Vervet, Djam-djam"
1429,Microgale dobsoni,Dobson's Shrew Tenrec
1430,Epomops dobsonii,Dobson's Fruit Bat
1431,Microtus dogramacii,NA
1432,Crocidura dolichura,Long-tailed Musk Shrew
1433,Sminthopsis dolichura,Little Long-tailed Dunnart
1434,Grammomys dolichurus,Woodland Thicket Rat
1435,Maxomys dollmani,"Dollman's Sulawesi Maxomys, Dollman's Spiny Rat"
1436,Melomys dollmani,"Dollman's Melomys, Long-tailed Melomys, Slender Mosaic-tailed Rat"
1437,Akodon dolores,"Crdoba Akodont, Dolorous Grass Mouse"
1438,Monodelphis domestica,"Grey Short-tailed Opossum, Gray Short-tailed Opossum"
1439,Paruromys dominator,"Giant Sulawesi Rat, Sulawesi Giant Rat"
1440,Myotis dominicensis,Dominican Myotis
1441,Graomys domorum,Pale Leaf-eared Mouse
1442,Callicebus donacophilus,"Bolivian Gray Titi, Bolivian Grey Titi, Bolivian Titi, Bolivian Titi Monkey, Titi Monkey, White-eared Titi, White Eared Titi"
1443,Ctenomys dorbignyi,NA
1444,Gazella dorcas,Dorcas Gazelle
1445,Phascolosorex doriae,"Red-bellied Phascogale, Red-bellied Dasyure, Red-bellied Marsupial Shrew"
1446,Hipposideros doriae,"Bornean Leaf-nosed Bat, Borneo Roundleaf Bat"
1447,Hesperoptenus doriae,False Serotine Bat
1448,Mormopterus doriae,Sumatran Mastiff Bat
1449,Chiroderma doriae,Brazilian Big-eyed Bat
1450,Dendrolagus dorianus,"Doria's Tree Kangaroo, Unicolored Tree Kangaroo"
1451,Scotozous dormeri,"Dormer's Bat, Dormer's Pipistrelle"
1452,Cephalophus dorsalis,Bay Duiker
1453,Dendrohyrax dorsalis,"Western Tree Hyrax, Western Tree Dassie"
1454,Lepilemur dorsalis,"Gray's Sportive Lemur, Grey-backed Sportive Lemur, Nossi-b Sportive Lemur"
1455,Platyrrhinus dorsalis,Thomas's Broad-nosed Bat
1456,Tupaia dorsalis,"Striped Treeshrew, Striped Tree Shrew"
1457,Ctenomys dorsalis,Chacoan Tuco-tuco
1458,Delomys dorsalis,Striped Atlantic Forest Rat
1459,Macropus dorsalis,Black-striped Wallaby
1460,Neotamias dorsalis,"Gray-collared Chipmunk, Cliff Chipmunk"
1461,Phascolosorex dorsalis,"Narrow-striped Dasyure, Narrow-striped Marsupial Shrew"
1462,Erethizon dorsatum,North American Porcupine
1463,Crocidura douceti,Doucet's Musk Shrew
1464,Sminthopsis douglasi,Julia Creek Dunnart
1465,Tamiasciurus douglasii,Douglas's Squirrel
1466,Vespadelus douglasorum,"Yellow-lipped Cave Bat, Yellow-lipped Bat"
1467,Apodemus draco,South China Field Mouse
1468,Nyctimene draconilla,"Lesser Tube-nosed Bat, Dragon Tube-nosed Bat, Dragon Tube-nosed Fruit Bat"
1469,Microgale drouhardi,"Drouhard's Shrew Tenrec, Striped Shrew Tenrec"
1470,Cercopithecus dryas,"Dryas Monkey, Dryad Monkey, Dryas Guenon, Salonga Guenon"
1471,Gracilinanus dryas,Wood Sprite Gracile Mouse Opossum
1472,Microgale dryas,"Dryad Shrew Tenrec, Tree Shrew Tenrec"
1473,Grammomys dryas,Forest Thicket Rat
1474,Crocidura dsinezumi,"Dsinezumi Shrew, Japanese White-toothed Shrew"
1475,Bauerus dubiaquercus,Van Gelder's Bat
1476,Callicebus dubius,"Hershkovitz's Titi, Doubtful Titi Monkey, Dubius Titi"
1477,Neacomys dubosti,"Dubost's Bristly Mouse, Dubost's Neacomys"
1478,Funisciurus duchaillui,NA
1479,Dugong dugon,"Dugong, Sea Cow"
1480,Gerbillus dunni,Somalia Gerbil
1481,Microtus duodecimcostatus,Mediterranean Pine Vole
1482,Pachyuromys duprasi,Fat-tailed Gerbil
1483,Eidolon dupreanum,Madagascan Fruit Bat
1484,Neotamias durangae,Durango Chipmunk
1485,Hipposideros durgadasi,"Durga Das's Leaf-nosed Bat, Khajuria's Leaf-nosed Bat, Khajuria's Leaf-nosed Bat"
1486,Semnopithecus dussumieri,"Southern Plains Gray Langur, Dussumier's Malabar Langur, Dussumier's Sacred Langur"
1487,Chlorotalpa duthieae,Duthie's Golden Mole
1488,Rucervus duvaucelii,"Barasingha, Swamp Deer"
1489,Chalinolobus dwyeri,Large-eared Pied Bat
1490,Hipposideros dyacorum,"Dayak Leaf-nosed Bat, Dayak Roundleaf Bat"
1491,Dologale dybowskii,"Pousargues's Mongoose, Savanna Mongoose"
1492,Mylomys dybowskii,"African Groove-toothed Rat, Mill Rat"
1493,Lasiurus ebenus,NA
1494,Epixerus ebii,"Western Palm Squirrel, Ebian's Palm Squirrel, Temminck's Giant Squirrel"
1495,Neotomys ebriosus,Andean Swamp Rat
1496,Diphylla ecaudata,Hairy-legged Vampire Bat
1497,Megaerops ecaudatus,"Temminck's Tailless Fruit Bat, Tail-less Fruit Bat, Temminck's Tailless Fruit Bat"
1498,Chaeropus ecaudatus,Pig-footed Bandicoot
1499,Tenrec ecaudatus,"Tailess Tenrec, Common Tenrec"
1500,Tarsomys echinatus,"Spiny Tarsomys, Mindanao Spiny Rat, Spiny Long-footed Rat"
1501,Echymipera echinista,"Menzies' Echymipera, Fly River Bandicoot"
1502,Proechimys echinothrix,NA
1503,Olallamys edax,Greedy Olalla Rat
1504,Andinomys edax,Andean Mouse
1505,Balaenoptera edeni,"Bryde's Whale, Eden's Whale, Tropical Whale"
1506,Nesophontes edithae,"Edith's Island-shrew, Edith's Nesophont, Puerto Rican Nesophontes"
1507,Graomys edithae,Edith's Leaf-eared Mouse
1508,Elephantulus edwardii,"Cape Rock Sengi, Cape Rock Elephant-shrew"
1509,Hipposideros edwardshilli,Hill's Leaf-nosed Bat
1510,Propithecus edwardsi,"Milne-Edward's Sifaka, Milne-Edwards's Simpona"
1511,Lepilemur edwardsi,Milne-Edwards's Sportive Lemur
1512,Perodicticus edwardsi,"Milne-Edwards's Potto, Central Potto"
1513,Leopoldamys edwardsi,"Edward's Rat, Edwards's Long-tailed Giant Rat"
1514,Malacomys edwardsi,Edward's Swamp Rat
1515,Herpestes edwardsii,"Indian Grey Mongoose, Common Mongoose, Grey Mongoose"
1516,Notiomys edwardsii,Edwards's Long-clawed Mouse
1517,Lasiurus ega,Southern Yellow Bat
1518,Scleronycteris ega,Ega Long-tongued Bat
1519,Miniopterus egeri,Eger's Long-fingered Bat
1520,Glauconycteris egeria,Bibundi Bat
1521,Lasiurus egregius,Big Red Bat
1522,Niviventer eha,"Little Himalayan Rat, Smoke-bellied Rat"
1523,Nannospalax ehrenbergi,"Palestine Mole Rat, Middle East Blind Mole Rat"
1524,Crocidura eisentrauti,Eisentraut's Shrew
1525,Myosorex eisentrauti,Eisentraut's Mouse Shrew
1526,Pipistrellus eisentrauti,Eisentraut's Pipistrelle
1527,Lophuromys eisentrauti,NA
1528,Scotophilus ejetai,Ejeta's House Bat
1529,Rattus elaphinus,"Sula Archipelago Rat, Sula Rat"
1530,Cervus elaphus,"Red Deer, Western Red Deer"
1531,Allactaga elater,Small Five-toed Jerboa
1532,Dipodomys elator,Texas Kangaroo Rat
1533,Calomyscus elburzensis,"Goodwin's Brush-tailed Mouse, Goodwin's Calomyscus"
1534,Rucervus eldii,"Eld's Deer, Brow-antlered Deer, Thamin"
1535,Peponocephala electra,Melon-headed Whale
1536,Phaner electromontis,"Montagne D' Ambre Fork-marked Lemur, Amber Mountain Fork-marked Lemur"
1537,Galidia elegans,"Ring-tailed Vontsira, Malagasy Ring-tailed Mongoose, Ring-tailed Mongoose"
1538,Thylamys elegans,"Elegant Fat-tailed Mouse Opossum, Elegant Fat-tailed Opossum"
1539,Myotis elegans,Elegant Myotis
1540,Urocitellus elegans,"Nevada Ground Squirrel, Wyoming Ground Squirrel"
1541,Leptomys elegans,"Large Leptomys, Long-footed Rat, Long-footed Water Rat"
1542,Nectogale elegans,"Elegant Water Shrew, Web-footed Water Shrew"
1543,Macruromys elegans,"Lesser Small-toothed Rat, Western Small-toothed Rat"
1544,Petaurista elegans,"Spotted Giant Flying Squirrel, Grey-headed Flying Squirrel"
1545,Margaretamys elegans,"Elegant Margaretamys, Elegant Margareta Rat"
1546,Euoticus elegantulus,"Southern Needle-clawed Galago, Elegant Galago, Elegant Needle-clawed Galago, Western Needle-clawed Bushbaby, Western Needle-clawed Galago"
1547,Mormopterus eleryi,"Hairy-nosed Freetail-bat, Bristle-faced Freetail-bat, Bristle-faced Free-tailed Bat, Hairy-nosed Freetail Bat"
1548,Thomasomys eleusis,Peruvian Oldfield Mouse
1549,Crocidura elgonius,Elgon Shrew
1550,Trinomys eliasi,NA
1551,Oligoryzomys eliurus,Brazilian Pygmy Rice Rat
1552,Pseudohydromys ellermani,NA
1553,Eliurus ellermani,Ellerman's Tuft-tailed Rat
1554,Golunda ellioti,"Indian Bush-rat, Indian Bush Rat"
1555,Anathana ellioti,"Madras Treeshrew, Indian Tree Shrew, Madras Tree Shrew"
1556,Kobus ellipsiprymnus,Waterbuck
1557,Crocidura elongata,Elongated Shrew
1558,Phyllostomus elongatus,Lesser Spear-nosed Bat
1559,Rhinolophus eloquens,Eloquent Horseshoe Bat
1560,Cremnomys elvira,"Large Rock-rat, Elvira Rat"
1561,Myotis emarginatus,"Geoffroy's Bat, Geoffroy's Myotis"
1562,Sorex emarginatus,Zacatecas Shrew
1563,Thomasomys emeritus,NA
1564,Dobsonia emersa,"Biak Bare-backed Fruit Bat, Biak Naked-backed Fruit Bat"
1565,Monodelphis emiliae,Emilia's Short-tailed Opossum
1566,Lonchothrix emiliae,Tuft-tailed Spiny Tree Rat
1567,Petaurillus emiliae,Lesser Pygmy Flying Squirrel
1568,Gracilinanus emiliae,"Emilia's Gracile Opossum, Emilia's Gracile Mouse Opossum"
1569,Mico emiliae,Snethlage's Marmoset
1570,Rhipidomys emiliae,NA
1571,Ctenomys emilianus,Emily's Tuco-tuco
1572,Cricetomys emini,"Forest Giant Pouched Rat, Giant Rat"
1573,Taterillus emini,"Emin's Gerbil, Emin's Tateril"
1574,Uromys emmae,Emma's Giant Rat
1575,Euryoryzomys emmonsae,Emmons's Rice Rat
1576,Urocitellus endemicus,Southern Idaho Ground Squirrel
1577,Cryptotis endersi,"Ender's Small-eared Shrew, Enders' S Small-eared Shrew"
1578,Pipistrellus endoi,Endo's Pipistrelle
1579,Rattus enganus,"Enggano Island Rat, Enggano Rat"
1580,Semnopithecus entellus,"Northern Plains Gray Langur, Bengal Hanuman Langur"
1581,Piliocolobus epieni,Niger Delta Red Colobus
1582,Apodemus epimelas,Western Broad-toothed Field Mouse
1583,Cryptotis equatoris,Ecuadorean Small-eared Shrew
1584,Hippotragus equinus,Roan Antelope
1585,Perameles eremiana,Desert Bandicoot
1586,Peromyscus eremicus,Cactus Mouse
1587,Chaetodipus eremicus,"Chihuahuan Desert Pocket Mouse, Chihuahuan Pocket Mouse"
1588,Crocidura erica,Heather Shrew
1589,Kerivoula eriophora,Ethiopian Woolly Bat
1590,Mustela erminea,"Stoat, Ermine, Short-tailed Weasel"
1591,Leptomys ernstmayri,"Ernst Mayr's Leptomys, Ernst Mayr's Water Rat"
1592,Thomasomys erro,NA
1593,Callosciurus erythraeus,Pallas's Squirrel
1594,Cercopithecus erythrogaster,"Red-bellied Monkey, Red-bellied Guenon, White-throated Guenon, White-throated Monkey"
1595,Spermophilus erythrogenys,Red-cheeked Ground Squirrel
1596,Mastomys erythroleucus,"Guinea Multimammate Mouse, Reddish-white Mastomys"
1597,Sturnira erythromos,Hairy Yellow-shouldered Bat
1598,Xerus erythropus,"Striped Ground Squirrel, Geoffroy's Ground Squirrel"
1599,Cercopithecus erythrotis,"Red-eared Monkey, Red-eared Guenon, Russet-eared Guenon"
1600,Ochotona erythrotis,Chinese Red Pika
1601,Myotis escalerai,Escalera's bat
1602,Natalus espiritosantensis,NA
1603,Mogera etigo,"Etigo Mole, Echigo Mole"
1604,Suncus etruscus,"Pygmy White-toothed Shrew, Etruscan Shrew, Savi's Pygmy Shrew, White-toothed Pygmy Shrew"
1605,Macropus eugenii,"Tammar Wallaby, Tamar Wallaby"
1606,Allactaga euphratica,Euphrates Jerboa
1607,Talpa europaea,"European Mole, Common Mole"
1608,Lepus europaeus,"European Hare, Brown Hare, European Brown Hare"
1609,Mesoplodon europaeus,"Gervais' Beaked Whale, Gulf Stream Beaked Whale"
1610,Erinaceus europaeus,"Western European Hedgehog, Northern Hedgehog, Western Hedgehog"
1611,Rhinolophus euryale,Mediterranean Horseshoe Bat
1612,Tragelaphus eurycerus,Bongo
1613,Rhinolophus euryotis,"Broad-eared Horseshoe Bat, New Guinea Horseshoe Bat"
1614,Cephalorhynchus eutropia,Chilean Dolphin
1615,Peromyscus eva,Eva's Desert Mouse
1616,Caryomys eva,"Eva's Red-backed Vole, Eva's Vole, Gansu Vole, Ganzu Vole, Taozhou Vole"
1617,Melogale everetti,"Bornean Ferret Badger, Everett's Ferret Badger, Kinabalu Ferret Badger"
1618,Rattus everetti,Philippine Forest Rat
1619,Tupaia everetti,"Mindanao Treeshrew, Mindanao Tree Shrew, Philippine Tree Shrew"
1620,Dremomys everetti,Bornean Mountain Ground Squirrel
1621,Mustela eversmanii,"Steppe Polecat, Steppe Weasel"
1622,Allocricetulus eversmanni,Eversmann's Hamster
1623,Microtus evoronensis,"Evoron Vole, Evorsk Vole, Lake Evoron Vole"
1624,Myotis evotis,Long-eared Myotis
1625,Notiosorex evotis,Large-eared Grey Shrew
1626,Lophostoma evotis,Davis's Round-eared Bat
1627,Niviventer excelsior,"Sichuan Niviventer, Large White-bellied Rat"
1628,Sorex excelsus,"Highland Shrew, Lofty Shrew"
1629,Exilisciurus exilis,Least Pygmy Squirrel
1630,Dobsonia exoleta,Sulawesi Naked-backed Fruit Bat
1631,Calomys expulsus,"Rejected Vesper Mouse, Caatinga Laucha"
1632,Rattus exulans,Polynesian Rat
1633,Lepus fagani,Ethiopian Hare
1634,Phyllops falcatus,Cuban Fig-eating Bat
1635,Capra falconeri,Markhor
1636,Chaetodipus fallax,San Diego Pocket Mouse
1637,Crunomys fallax,"Luzon Shrew Mouse, Northern Luzon Shrew-mouse, Northern Luzon Shrew Rat"
1638,Pelomys fallax,Creek Groove-toothed Swamp Rat
1639,Abrocoma famatina,Famatina Chinchilla Rat
1640,Ctenomys famosus,NA
1641,Gerbillus famulus,Black-tufted Gerbil
1642,Mus famulus,"Bonhote's Mouse, Servant Mouse"
1643,Melonycteris fardoulisi,Fardoulis's Blossom Bat
1644,Histriophoca fasciata,Ribbon Seal
1645,Galidictis fasciata,"Broad-striped Vontsira, Broad-striped Mongoose, Malagasy Broad-striped Mongoose"
1646,Myrmecobius fasciatus,"Numbat, Banded Anteater"
1647,Lagostrophus fasciatus,"Banded Hare Wallaby, Banded Hare-wallaby, Maning"
1648,Perognathus fasciatus,Olive-backed Pocket Mouse
1649,Macaca fascicularis,"Nicobar Crab-eating Macaque, Nicobar Cynomolgus Monkey, Nicobar Long-tailed Macaque"
1650,Trichys fasciculata,Long-tailed Porcupine
1651,Pteropus faunulus,Nicobar Flying Fox
1652,Muntiacus feae,Fea's Muntjac
1653,Calomys fecundus,NA
1654,Myotis federatus,Malayan Whiskered Myotis
1655,Rattus feliceus,"Spiny Seram Island Rat, Spiny Ceram Rat"
1656,Lontra felina,"Marine Otter, Sea Cat"
1657,Mustela felipei,Colombian Weasel
1658,Suncus fellowesgordoni,"Ceylon Pygmy Shrew, Sri Lanka Shrew"
1659,Protochromys fellowsi,"Red-bellied Protochromys, Papuan Protochromys, Red-bellied Mosaic-tailed Rat"
1660,Microtus felteni,"Balkan Pine Vole, BALKAN PINE VOLE, Felten's Vole"
1661,Presbytis femoralis,"Banded Surili, Banded Langur, Banded Leaf Monkey"
1662,Nyctinomops femorosaccus,Pocketed Free-tailed Bat
1663,Thylamys fenestrae,NA
1664,Pogonomys fergussoniensis,D'entrecasteaux Archipelago Pogonomys
1665,Lonchorhina fernandezi,Fernandez's Sword-nosed Bat
1666,Nesoryzomys fernandinae,"Fernandina Galapagos Mouse, Fernandina Rice Rat"
1667,Mus fernandoni,Ceylon Spiny Mouse
1668,Feroculus feroculus,Kelaart's Long-clawed Shrew
1669,Cryptoprocta ferox,Fossa
1670,Neusticomys ferreirai,NA
1671,Vulpes ferrilata,Tibetan Fox
1672,Tupaia ferruginea,Sumatran Treeshrew
1673,Phaenomys ferrugineus,Rio De Janeiro Arboreal Rat
1674,Deomys ferrugineus,Congo Forest Mouse
1675,Rhinolophus ferrumequinum,Greater Horseshoe Bat
1676,Hyperacrius fertilis,"Burrowing Vole, True's Vole"
1677,Equus ferus,"Przewalski's Horse, Asian Wild Horse, Mongolian Wild Horse"
1678,Camelus ferus,"Bactrian Camel, Two-humped Camel, Wild Bactrian Camel"
1679,Castor fiber,Eurasian Beaver
1680,Pseudomys fieldi,"Djoongari, Alice Springs Mouse, Shark Bay Mouse"
1681,Eoglaucomys fimbriatus,Small Kashmir Flying Squirrel
1682,Myotis fimbriatus,"Fringed Long-footed Myotis, Hairy-legged Myotis"
1683,Artibeus fimbriatus,Fringed Fruit-eating Bat
1684,Myotis findleyi,Findley's Myotis
1685,Vespadelus finlaysoni,Finlayson's Cave Bat
1686,Callosciurus finlaysonii,"Variable Squirrel, Finlayson's Squirrel"
1687,Allactaga firouzi,Iranian Jerboa
1688,Rhinophylla fischerae,Fischer's Little Fruit Bat
1689,Haplonycteris fischeri,"Fischer's Pygmy Fruit Bat, Philippine Pygmy Fruit Bat"
1690,Crocidura fischeri,Fischer's Shrew
1691,Anoura fistulata,Tube-lipped Tailless Bat
1692,Ctenomys flamarioni,Tuco-tuco Of The Dunes
1693,Sciurus flammifer,Fiery Squirrel
1694,Pteralopex flanneryi,Greater Monkey-faced Bat
1695,Herpestes flavescens,"Kaokoveld Slender Mongoose, Angolan Slender Mongoose, Black Mongoose, Black Slender Mongoose"
1696,Crocidura flavescens,Greater Red Musk Shrew
1697,Oligoryzomys flavescens,Yellow Pygmy Rice Rat
1698,Ariteus flavescens,Jamaican Fig-eating Bat
1699,Neoromicia flavescens,"Yellow Pipistrelle Bat, Yellow Serotine"
1700,Perognathus flavescens,Plains Pocket Mouse
1701,Oecomys flavicans,Yellow Arboreal Rice Rat
1702,Oreonax flavicauda,"Peruvian Yellow-tailed Woolly Monkey, Yellow-tailed Woolly Monkey"
1703,Macroscelides flavicaudatus,"Namib Round-eared Sengi, Namib Round-eared Elephant-shrew"
1704,Callithrix flaviceps,Buffy-headed Marmoset
1705,Apodemus flavicollis,Yellow-necked Field Mouse
1706,Galea flavidens,Yellow-toothed Cavy
1707,Isthmomys flavidus,Yellow Isthmus Rat
1708,Pattonomys flavidus,Yellow Speckled Tree-rat
